Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Brownsville,Texas,2301,US-Mexico Border,11-2021,Rail Containers Loaded,1510,25.952,-97.401,POINT (-97.40067 25.95155)
Morgan,Montana,3319,US-Canada Border,02-2021,Personal Vehicle Passengers,42,49.0,-107.832,POINT (-107.831819 48.999829)
Brownsville,Texas,2301,US-Mexico Border,06-2020,Trains,50,25.952,-97.401,POINT (-97.40067 25.95155)
Sarles,North Dakota,3409,US-Canada Border,10-2021,Personal Vehicles,34,49.0,-98.938,POINT (-98.938361 49.000027)
Calexico East,California,2507,US-Mexico Border,03-2021,Personal Vehicle Passengers,165430,32.673,-115.388,POINT (-115.388018 32.673389)
Fort Kent,Maine,110,US-Canada Border,04-2022,Truck Containers Loaded,86,47.249,-68.604,POINT (-68.603918 47.249206)
Boundary,Washington,3015,US-Canada Border,04-2022,Train Passengers,84,49.001,-117.628,POINT (-117.627583 49.00075)
Eastport,Maine,103,US-Canada Border,02-2021,Personal Vehicles,4147,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Beecher Falls,Vermont,206,US-Canada Border,08-2020,Personal Vehicle Passengers,415,45.013,-71.505,POINT (-71.505309 45.013411)
Dunseith,North Dakota,3422,US-Canada Border,09-2021,Personal Vehicles,2164,48.999,-100.052,POINT (-100.052166 48.999277)
Santa Teresa,New Mexico,2408,US-Mexico Border,08-2020,Truck Containers Loaded,6982,31.784,-106.679,POINT (-106.679437 31.783939)
Laredo,Texas,2304,US-Mexico Border,11-2019,Personal Vehicles,396261,27.5,-99.507,POINT (-99.507412 27.499561)
Baudette,Minnesota,3424,US-Canada Border,09-2020,Truck Containers Loaded,7,48.719,-94.59,POINT (-94.590467 48.719109)
Alcan,Alaska,3104,US-Canada Border,11-2020,Personal Vehicles,637,62.615,-141.001,POINT (-141.001444 62.614961)
Rio Grande City,Texas,2307,US-Mexico Border,03-2020,Trucks,3774,26.366,-98.803,POINT (-98.802513 26.365761)
Naco,Arizona,2603,US-Mexico Border,07-2021,Truck Containers Loaded,69,31.334,-109.948,POINT (-109.948413 31.334084)
Carbury,North Dakota,3421,US-Canada Border,08-2022,Personal Vehicles,517,48.999,-100.556,POINT (-100.555805 48.999416)
Progreso,Texas,2309,US-Mexico Border,11-2020,Pedestrians,62326,26.062,-97.95,POINT (-97.949958 26.062133)
Tecate,California,2505,US-Mexico Border,07-2021,Pedestrians,46059,32.576,-116.626,POINT (-116.626216 32.576428)
Eastport,Maine,103,US-Canada Border,09-2021,Trucks,127,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Trout River,New York,715,US-Canada Border,06-2020,Truck Containers Loaded,508,44.992,-74.308,POINT (-74.308172 44.992058)
Roosville,Montana,3318,US-Canada Border,10-2019,Personal Vehicle Passengers,18729,49.0,-115.056,POINT (-115.056027 48.999638)
Massena,New York,704,US-Canada Border,05-2022,Personal Vehicles,62650,44.991,-74.74,POINT (-74.739722 44.990556)
Laredo,Texas,2304,US-Mexico Border,02-2022,Bus Passengers,51739,27.5,-99.507,POINT (-99.507412 27.499561)
Andrade,California,2502,US-Mexico Border,10-2019,Personal Vehicle Passengers,93913,32.718,-114.728,POINT (-114.72832 32.718143)
Port Huron,Michigan,3802,US-Canada Border,08-2021,Buses,2,42.999,-82.424,POINT (-82.423611 42.998611)
Buffalo Niagara Falls,New York,901,US-Canada Border,10-2021,Train Passengers,433,43.095,-79.056,POINT (-79.055847 43.09549)
Maida,North Dakota,3416,US-Canada Border,02-2022,Personal Vehicle Passengers,86,49.0,-98.365,POINT (-98.36525 49.00025)
Jackman,Maine,104,US-Canada Border,08-2020,Rail Containers Empty,1758,45.806,-70.397,POINT (-70.396722 45.805661)
Beecher Falls,Vermont,206,US-Canada Border,11-2019,Truck Containers Loaded,345,45.013,-71.505,POINT (-71.505309 45.013411)
Brownsville,Texas,2301,US-Mexico Border,03-2021,Rail Containers Loaded,1161,25.952,-97.401,POINT (-97.40067 25.95155)
Van Buren,Maine,108,US-Canada Border,12-2020,Trucks,1303,47.16,-67.931,POINT (-67.930799 47.159645)
Antler,North Dakota,3413,US-Canada Border,04-2020,Truck Containers Loaded,15,48.999,-101.296,POINT (-101.296055 48.999472)
Danville,Washington,3012,US-Canada Border,01-2020,Truck Containers Loaded,23,49.0,-118.504,POINT (-118.503722 49.000083)
Madawaska,Maine,109,US-Canada Border,06-2021,Pedestrians,47,47.36,-68.329,POINT (-68.328684 47.360052)
Van Buren,Maine,108,US-Canada Border,09-2021,Train Passengers,60,47.16,-67.931,POINT (-67.930799 47.159645)
Sarles,North Dakota,3409,US-Canada Border,05-2019,Trucks,16,49.0,-98.938,POINT (-98.938361 49.000027)
Laredo,Texas,2304,US-Mexico Border,08-2020,Truck Containers Empty,57099,27.5,-99.507,POINT (-99.507412 27.499561)
Trout River,New York,715,US-Canada Border,01-2020,Truck Containers Loaded,493,44.992,-74.308,POINT (-74.308172 44.992058)
Madawaska,Maine,109,US-Canada Border,08-1998,Pedestrians,2710,47.36,-68.329,POINT (-68.328684 47.360052)
Portal,North Dakota,3403,US-Canada Border,05-2020,Trucks,6409,48.999,-102.552,POINT (-102.551944 48.998944)
International Falls,Minnesota,3604,US-Canada Border,08-2019,Train Passengers,680,48.608,-93.401,POINT (-93.401355 48.6078)
Progreso,Texas,2309,US-Mexico Border,02-2022,Trucks,4086,26.062,-97.95,POINT (-97.949958 26.062133)
Buffalo Niagara Falls,New York,901,US-Canada Border,01-2021,Rail Containers Loaded,8196,43.095,-79.056,POINT (-79.055847 43.09549)
San Luis,Arizona,2608,US-Mexico Border,06-2020,Bus Passengers,2,32.485,-114.782,POINT (-114.7822222 32.485)
Walhalla,North Dakota,3407,US-Canada Border,07-2022,Personal Vehicle Passengers,1869,49.0,-97.908,POINT (-97.908416 49.000472)
Sasabe,Arizona,2606,US-Mexico Border,11-2020,Personal Vehicles,2493,31.483,-111.544,POINT (-111.544363 31.483039)
Turner,Montana,3306,US-Canada Border,06-2021,Truck Containers Empty,26,49.0,-108.388,POINT (-108.387916 48.999527)
Roseau,Minnesota,3426,US-Canada Border,04-2019,Trucks,217,49.0,-95.766,POINT (-95.766469 48.999538)
Metaline Falls,Washington,3025,US-Canada Border,03-2021,Truck Containers Empty,375,49.0,-117.299,POINT (-117.299444 48.999972)
Alcan,Alaska,3104,US-Canada Border,01-2021,Trucks,416,62.615,-141.001,POINT (-141.001444 62.614961)
Oroville,Washington,3019,US-Canada Border,09-2021,Pedestrians,22,49.0,-119.462,POINT (-119.461833 49.000083)
International Falls,Minnesota,3604,US-Canada Border,01-2021,Trucks,1805,48.608,-93.401,POINT (-93.401355 48.6078)
Richford,Vermont,203,US-Canada Border,01-2022,Trucks,481,45.012,-72.589,POINT (-72.588559 45.01174)
Dunseith,North Dakota,3422,US-Canada Border,02-2020,Truck Containers Loaded,1788,48.999,-100.052,POINT (-100.052166 48.999277)
Turner,Montana,3306,US-Canada Border,03-2020,Truck Containers Empty,6,49.0,-108.388,POINT (-108.387916 48.999527)
Willow Creek,Montana,3325,US-Canada Border,08-2020,Personal Vehicle Passengers,28,49.0,-109.731,POINT (-109.731333 48.999972)
Progreso,Texas,2309,US-Mexico Border,12-2019,Trucks,4153,26.062,-97.95,POINT (-97.949958 26.062133)
San Luis,Arizona,2608,US-Mexico Border,09-2021,Truck Containers Loaded,2077,32.485,-114.782,POINT (-114.7822222 32.485)
Vanceboro,Maine,105,US-Canada Border,03-2019,Rail Containers Loaded,1007,45.569,-67.429,POINT (-67.428541 45.568761)
Dunseith,North Dakota,3422,US-Canada Border,12-2019,Truck Containers Loaded,1181,48.999,-100.052,POINT (-100.052166 48.999277)
Lukeville,Arizona,2602,US-Mexico Border,02-2019,Truck Containers Empty,3,31.88,-112.817,POINT (-112.817077 31.880195)
Norton,Vermont,211,US-Canada Border,06-2019,Personal Vehicle Passengers,5151,45.011,-71.793,POINT (-71.793219 45.010771)
Trout River,New York,715,US-Canada Border,08-2022,Truck Containers Loaded,492,44.992,-74.308,POINT (-74.308172 44.992058)
Vanceboro,Maine,105,US-Canada Border,02-2022,Personal Vehicle Passengers,216,45.569,-67.429,POINT (-67.428541 45.568761)
Madawaska,Maine,109,US-Canada Border,04-2019,Truck Containers Empty,141,47.36,-68.329,POINT (-68.328684 47.360052)
Madawaska,Maine,109,US-Canada Border,11-2019,Truck Containers Loaded,28,47.36,-68.329,POINT (-68.328684 47.360052)
Ogdensburg,New York,701,US-Canada Border,02-2020,Truck Containers Loaded,2371,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
International Falls,Minnesota,3604,US-Canada Border,09-2021,Rail Containers Loaded,42967,48.608,-93.401,POINT (-93.401355 48.6078)
Nogales,Arizona,2604,US-Mexico Border,12-2021,Rail Containers Loaded,3762,31.333,-110.943,POINT (-110.942516 31.332839)
Eastport,Idaho,3302,US-Canada Border,07-2019,Trucks,4736,49.001,-116.181,POINT (-116.181027 49.000555)
